Employee_ID,Department_ID,Department,Employee_Name,Job_Title,Salary,Age,Location,Joining_Year
E0092,D007,Legal,Employee_092,Engineer,82383,36,Mumbai,2025
E0093,D001,HR,Employee_093,Associate,132029,48,Mumbai,2017
E0094,D009,Support,Employee_094,Engineer,36582,56,Mumbai,2016
E0095,D008,Engineering,Employee_095,Executive,135043,50,Hyderabad,2023
E0096,D010,Administration,Employee_096,Coordinator,128992,49,Hyderabad,2026
E0097,D009,Support,Employee_097,Specialist,138864,56,Delhi,2017
E0098,D008,Engineering,Employee_098,Engineer,63972,36,Bengaluru,2023
E0099,D008,Engineering,Employee_099,Manager,65992,49,Pune,2026
E0100,D005,Sales,Employee_100,Manager,65614,42,Bengaluru,2023
E0101,D002,Finance,Employee_101,Executive,49769,35,Delhi,2026
E0102,D003,IT,Employee_102,Manager,38418,47,Delhi,2020
E0103,D009,Support,Employee_103,Engineer,84496,24,Mumbai,2021
E0104,D007,Legal,Employee_104,Analyst,142293,57,Delhi,2022
E0105,D001,HR,Employee_105,Coordinator,69139,45,Delhi,2023
E0106,D009,Support,Employee_106,Manager,93993,35,Bengaluru,2021
E0107,D008,Engineering,Employee_107,Analyst,80968,42,Delhi,2026
E0108,D003,IT,Employee_108,Engineer,46728,60,Hyderabad,2015
E0109,D007,Legal,Employee_109,Analyst,41003,48,Mumbai,2022
E0110,D003,IT,Employee_110,Analyst,64099,45,Bengaluru,2018
E0111,D008,Engineering,Employee_111,Coordinator,74236,45,Bengaluru,2021
E0112,D005,Sales,Employee_112,Associate,91644,22,Hyderabad,2015
E0113,D006,Operations,Employee_113,Manager,115215,25,Pune,2015
E0114,D004,Marketing,Employee_114,Manager,139999,22,Hyderabad,2017
E0115,D004,Marketing,Employee_115,Executive,92070,28,Hyderabad,2018
E0116,D008,Engineering,Employee_116,Senior Analyst,130518,44,Mumbai,2024
E0117,D010,Administration,Employee_117,Associate,131946,31,Bengaluru,2016
E0118,D010,Administration,Employee_118,Analyst,70888,57,Delhi,2021
E0119,D004,Marketing,Employee_119,Associate,107607,36,Pune,2026
E0120,D005,Sales,Employee_120,Associate,134363,57,Pune,2020
